word,phonemes,roles,g2p_alignment
pening,p ə n i ŋ,A,p}p e}ə n}n i}i n|g}ŋ
pening,p e n i ŋ,N,p}p e}e n}n i}i n|g}ŋ
pentil,p e n t i l,N,p}p e}e n}n t}t i}i l}l
pentil,p ə n t i l,N,p}p e}ə n}n t}t i}i l}l
pepet,p e p e t,V,p}p e}e p}p e}e t}t
pepet,p ə p ə t,N,p}p e}ə p}p e}ə t}t
per,p e r,N,p}p e}e r}r
per,p ə r,P,p}p e}ə r}r
rebak,r e b a ʔ,A,r}r e}e b}b a}a k}ʔ
rebak,r ə b a ʔ,V,r}r e}ə b}b a}a k}ʔ
relai,r e l a i,V,r}r e}e l}l a}a i}i
relai,r ə l a i,N,r}r e}ə l}l a}a i}i
remah,r e m a h,N,r}r e}e m}m a}a h}h
remah,r ə m a h,N,r}r e}ə m}m a}a h}h
rembes,r e m b e s,A,r}r e}e m}m b}b e}e s}s
rembes,r e m b ə s,N,r}r e}e m}m b}b e}ə s}s
samseng,s a m s e ŋ,N,s}s a}a m}m s}s e}e n|g}ŋ
samseng,s a m s ə ŋ,V,s}s a}a m}m s}s e}ə n|g}ŋ
seba,s e b a,V,s}s e}e b}b a}a
seba,s ə b a,V,s}s e}ə b}b a}a
sebat,s e b a t,A,s}s e}e b}b a}a t}t
sebat,s ə b a t,V,s}s e}ə b}b a}a t}t
sedan,s e d a n,N,s}s e}e d}d a}a n}n
sedan,s ə d a n,N,s}s e}ə d}d a}a n}n
sela,s ə l a,N,s}s e}ə l}l a}a
sela,s e l a,N,s}s e}e l}l a}a
selak,s e l a ʔ,V,s}s e}e l}l a}a k}ʔ
selak,s ə l a ʔ,V,s}s e}ə l}l a}a k}ʔ
selempang,s ə l e m p a ŋ,N,s}s e}ə l}l e}e m}m p}p a}a n|g}ŋ
selempang,s ə l ə m p a ŋ,A,s}s e}ə l}l e}ə m}m p}p a}a n|g}ŋ
semen,s e m ə n,N,s}s e}e m}m e}ə n}n
semen,s e m e n,N,s}s e}e m}m e}e n}n
semi,s ə m i,N,s}s e}ə m}m i}i
semi,s e m i,A,s}s e}e m}m i}i
senggang,s e ŋ ɡ a ŋ,A,s}s e}e n|g}ŋ g}ɡ a}a n|g}ŋ
senggang,s ə ŋ ɡ a ŋ,A,s}s e}ə n|g}ŋ g}ɡ a}a n|g}ŋ
sengkang,s e ŋ k a ŋ,N,s}s e}e n|g}ŋ k}k a}a n|g}ŋ
sengkang,s ə ŋ k a ŋ,N,s}s e}ə n|g}ŋ k}k a}a n|g}ŋ
sengkelat,s ə ŋ k e l a t,A,s}s e}ə n|g}ŋ k}k e}e l}l a}a t}t
sengkelat,s ə ŋ k ə l a t,V,s}s e}ə n|g}ŋ k}k e}ə l}l a}a t}t
sepak,s e p a k,N,s}s e}e p}p a}a k}k
sepak,s ə p a k,N,s}s e}ə p}p a}a k}k
serak,s ə r a ʔ,A,s}s e}ə r}r a}a k}ʔ
serak,s e r a ʔ,V,s}s e}e r}r a}a k}ʔ
serang,s ə r a ŋ,V,s}s e}ə r}r a}a n|g}ŋ
serang,s e r a ŋ,N,s}s e}e r}r a}a n|g}ŋ
seret,s e r e t,V,s}s e}e r}r e}e t}t
seret,s ə r ə t,A,s}s e}ə r}r e}ə t}t
seri,s e r i,N,s}s e}e r}r i}i
seri,s ə r i,A,s}s e}ə r}r i}i
sertu,s e r t u,N,s}s e}e r}r t}t u}u
sertu,s ə r t u,V,s}s e}ə r}r t}t u}u
tekek,t ə k e ʔ,N,t}t e}ə k}k e}e k}ʔ
tekek,t e k e ʔ,V,t}t e}e k}k e}e k}ʔ
teken,t ə k ə n,V,t}t e}ə k}k e}ə n}n
teken,t e k ə n,V,t}t e}e k}k e}ə n}n
tela,t e l a,N,t}t e}e l}l a}a
tela,t ə l a,N,t}t e}ə l}l a}a
telan,t e l a n,N,t}t e}e l}l a}a n}n
telan,t ə l a n,V,t}t e}ə l}l a}a n}n
teleng,t e l e ŋ,A,t}t e}e l}l e}e n|g}ŋ
teleng,t ə l ə ŋ,N,t}t e}ə l}l e}ə n|g}ŋ
telor,t ə l o r,N,t}t e}ə l}l o}o r}r
telor,t e l o r,A,t}t e}e l}l o}o r}r
tepak,t e p a ʔ,N,t}t e}e p}p a}a k}ʔ
tepak,t ə p a ʔ,N,t}t e}ə p}p a}a k}ʔ
tepok,t ə p o ʔ,V,t}t e}ə p}p o}o k}ʔ
tepok,t e p o ʔ,A,t}t e}e p}p o}o k}ʔ
terapi,t e r a p i,N,t}t e}e r}r a}a p}p i}i
terapi,t ə r a p i,A,t}t e}ə r}r a}a p}p i}i
teras,t e r a s,N,t}t e}e r}r a}a s}s
teras,t ə r a s,N,t}t e}ə r}r a}a s}s
