word,phonemes,g2p_alignment
absenteisme,a b s e n t e i s m ə,a}a b}b s}s e}e n}n t}t e}e i}i s}s m}m e}ə
abses,a b s e s,a}a b}b s}s e}e s}s
absis,a b s i s,a}a b}b s}s i}i s}s
absolusi,a b s o l u s i,a}a b}b s}s o}o l}l u}u s}s i}i
absolut,a b s o l u t,a}a b}b s}s o}o l}l u}u t}t
absolutisme,a b s o l u t i s m ə,a}a b}b s}s o}o l}l u}u t}t i}i s}s m}m e}ə
absorben,a b s o r b e n,a}a b}b s}s o}o r}r b}b e}e n}n
absorpsi,a b s o r p s i,a}a b}b s}s o}o r}r p}p s}s i}i
absorptif,a b s o r p t i f,a}a b}b s}s o}o r}r p}p t}t i}i f}f
abstain,a b s t a i n,a}a b}b s}s t}t a}a i}i n}n
abstrak,a b s t r a ʔ,a}a b}b s}s t}t r}r a}a k}ʔ
abstraksi,a b s t r a ʔ s i,a}a b}b s}s t}t r}r a}a k}ʔ s}s i}i
absurd,a b s u r d,a}a b}b s}s u}u r}r d}d
abtar,a b t a r,a}a b}b t}t a}a r}r
abu,a b u,a}a b}b u}u
abuan,a b u a n,a}a b}b u}u a}a n}n
abuh,a b u h,a}a b}b u}u h}h
abuhan,a b u h a n,a}a b}b u}u h}h a}a n}n
abuk,a b u ʔ,a}a b}b u}u k}ʔ
abul,a b u l,a}a b}b u}u l}l
abulhayat,a b u l h a j a t,a}a b}b u}u l}l h}h a}a y}j a}a t}t
abun,a b u n,a}a b}b u}u n}n
abur,a b u r,a}a b}b u}u r}r
abus,a b u s,a}a b}b u}u s}s
acah,a tʃ a h,a}a c}tʃ a}a h}h
acak,a tʃ a ʔ,a}a c}tʃ a}a k}ʔ
acan,a tʃ a n,a}a c}tʃ a}a n}n
acang,a tʃ a ŋ,a}a c}tʃ a}a n|g}ŋ
acap,a tʃ a p,a}a c}tʃ a}a p}p
acar,a tʃ a r,a}a c}tʃ a}a r}r
acara,a tʃ a r a,a}a c}tʃ a}a r}r a}a
acaram,a tʃ a r a m,a}a c}tʃ a}a r}r a}a m}m
acat,a tʃ a t,a}a c}tʃ a}a t}t
acatan,a tʃ a t a n,a}a c}tʃ a}a t}t a}a n}n
acau,a tʃ a u,a}a c}tʃ a}a u}u
acawi,a tʃ a w i,a}a c}tʃ a}a w}w i}i
acerang,a tʃ ə r a ŋ,a}a c}tʃ e}ə r}r a}a n|g}ŋ
aci,a tʃ i,a}a c}tʃ i}i
acian,a tʃ i a n,a}a c}tʃ i}i a}a n}n
acik,a tʃ i ʔ,a}a c}tʃ i}i k}ʔ
aco,a tʃ o,a}a c}tʃ o}o
acu,a tʃ u,a}a c}tʃ u}u
acuan,a tʃ u a n,a}a c}tʃ u}u a}a n}n
acuh,a tʃ u h,a}a c}tʃ u}u h}h
acuhan,a tʃ u h a n,a}a c}tʃ u}u h}h a}a n}n
acum,a tʃ u m,a}a c}tʃ u}u m}m
acuman,a tʃ u m a n,a}a c}tʃ u}u m}m a}a n}n
acung,a tʃ u ŋ,a}a c}tʃ u}u n|g}ŋ
acungkan,a tʃ u ŋ k a n,a}a c}tʃ u}u n|g}ŋ k}k a}a n}n
ada,a d a,a}a d}d a}a
adaan,a d a ʔ a n,a}a d}d a}a|ʔ a}a n}n
adab,a d a b,a}a d}d a}a b}b
adad,a d a d,a}a d}d a}a d}d
adagio,a d a ɡ i o,a}a d}d a}a g}ɡ i}i o}o
adagium,a d a ɡ i u m,a}a d}d a}a g}ɡ i}i u}u m}m
adakah,a d a k a h,a}a d}d a}a k}k a}a h}h
adakala,a d a k a l a,a}a d}d a}a k}k a}a l}l a}a
adakan,a d a k a n,a}a d}d a}a k}k a}a n}n
adalah,a d a l a h,a}a d}d a}a l}l a}a h}h
adalat,a d a l a t,a}a d}d a}a l}l a}a t}t
adam,a d a m,a}a d}d a}a m}m
adang,a d a ŋ,a}a d}d a}a n|g}ŋ
adanya,a d a ɲ a,a}a d}d a}a n|y}ɲ a}a
adap,a d a p,a}a d}d a}a p}p
adaptasi,a d a p t a s i,a}a d}d a}a p}p t}t a}a s}s i}i
adaptif,a d a p t i f,a}a d}d a}a p}p t}t i}i f}f
adaptor,a d a p t o r,a}a d}d a}a p}p t}t o}o r}r
adapun,a d a p u n,a}a d}d a}a p}p u}u n}n
adar,a d a r,a}a d}d a}a r}r
adas,a d a s,a}a d}d a}a s}s
adat,a d a t,a}a d}d a}a t}t
adati,a d a t i,a}a d}d a}a t}t i}i
adegan,a d ə ɡ a n,a}a d}d e}ə g}ɡ a}a n}n
adeh,a d e h,a}a d}d e}e h}h
adekuat,a d ə k u a t,a}a d}d e}ə k}k u}u a}a t}t
adem,a d ə m,a}a d}d e}ə m}m
adempauze,a d ə m p a u z ə,a}a d}d e}ə m}m p}p a}a u}u z}z e}ə
adhesi,a d h e s i,a}a d}d h}h e}e s}s i}i
adhesif,a d h e s i f,a}a d}d h}h e}e s}s i}i f}f
adib,a d i b,a}a d}d i}i b}b
adibintang,a d i b i n t a ŋ,a}a d}d i}i b}b i}i n}n t}t a}a n|g}ŋ
adibusana,a d i b u s a n a,a}a d}d i}i b}b u}u s}s a}a n}n a}a
adicita,a d i tʃ i t a,a}a d}d i}i c}tʃ i}i t}t a}a
adidaya,a d i d a j a,a}a d}d i}i d}d a}a y}j a}a
adigang,a d i ɡ a ŋ,a}a d}d i}i g}ɡ a}a n|g}ŋ
adiguna,a d i ɡ u n a,a}a d}d i}i g}ɡ u}u n}n a}a
adigung,a d i ɡ u ŋ,a}a d}d i}i g}ɡ u}u n|g}ŋ
adik,a d i ʔ,a}a d}d i}i k}ʔ
adika,a d i k a,a}a d}d i}i k}k a}a
adikara,a d i k a r a,a}a d}d i}i k}k a}a r}r a}a
adikarya,a d i k a r j a,a}a d}d i}i k}k a}a r}r y}j a}a
adikku,a d i ʔ k u,a}a d}d i}i k}ʔ k}k u}u
adikmu,a d i ʔ m u,a}a d}d i}i k}ʔ m}m u}u
adiknya,a d i ʔ ɲ a,a}a d}d i}i k}ʔ n|y}ɲ a}a
adikodrati,a d i k o d r a t i,a}a d}d i}i k}k o}o d}d r}r a}a t}t i}i
adikong,a d i k o ŋ,a}a d}d i}i k}k o}o n|g}ŋ
adiksi,a d i ʔ s i,a}a d}d i}i k}ʔ s}s i}i
adiktif,a d i ʔ t i f,a}a d}d i}i k}ʔ t}t i}i f}f
adikuasa,a d i k u a s a,a}a d}d i}i k}k u}u a}a s}s a}a
adil,a d i l,a}a d}d i}i l}l
adilan,a d i l a n,a}a d}d i}i l}l a}a n}n
adiluhung,a d i l u h u ŋ,a}a d}d i}i l}l u}u h}h u}u n|g}ŋ
adimarga,a d i m a r ɡ a,a}a d}d i}i m}m a}a r}r g}ɡ a}a
adinda,a d i n d a,a}a d}d i}i n}n d}d a}a
ading,a d i ŋ,a}a d}d i}i n|g}ŋ
adipati,a d i p a t i,a}a d}d i}i p}p a}a t}t i}i
adipenghantar,a d i p ə ŋ h a n t a r,a}a d}d i}i p}p e}ə n|g}ŋ h}h a}a n}n t}t a}a r}r
adipositas,a d i p o s i t a s,a}a d}d i}i p}p o}o s}s i}i t}t a}a s}s
adipura,a d i p u r a,a}a d}d i}i p}p u}u r}r a}a
adiraja,a d i r a dʒ a,a}a d}d i}i r}r a}a j}dʒ a}a
adiratna,a d i r a t n a,a}a d}d i}i r}r a}a t}t n}n a}a
adisional,a d i s i o n a l,a}a d}d i}i s}s i}i o}o n}n a}a l}l
adisiswa,a d i s i s w a,a}a d}d i}i s}s i}i s}s w}w a}a
aditif,a d i t i f,a}a d}d i}i t}t i}i f}f
aditokoh,a d i t o k o h,a}a d}d i}i t}t o}o k}k o}o h}h
adiwangsa,a d i w a ŋ s a,a}a d}d i}i w}w a}a n|g}ŋ s}s a}a
adiwarna,a d i w a r n a,a}a d}d i}i w}w a}a r}r n}n a}a
adiwidia,a d i w i d i a,a}a d}d i}i w}w i}i d}d i}i a}a
adjektiva,a d dʒ e ʔ t i v a,a}a d}d j}dʒ e}e k}ʔ t}t i}i v}v a}a
administrasi,a d m i n i s t r a s i,a}a d}d m}m i}i n}n i}i s}s t}t r}r a}a s}s i}i
administratif,a d m i n i s t r a t i f,a}a d}d m}m i}i n}n i}i s}s t}t r}r a}a t}t i}i f}f
administrator,a d m i n i s t r a t o r,a}a d}d m}m i}i n}n i}i s}s t}t r}r a}a t}t o}o r}r
admiral,a d m i r a l,a}a d}d m}m i}i r}r a}a l}l
admisi,a d m i s i,a}a d}d m}m i}i s}s i}i
adon,a d o n,a}a d}d o}o n}n
adonan,a d o n a n,a}a d}d o}o n}n a}a n}n
adopsi,a d o p s i,a}a d}d o}o p}p s}s i}i
adoptif,a d o p t i f,a}a d}d o}o p}p t}t i}i f}f
adrenal,a d r e n a l,a}a d}d r}r e}e n}n a}a l}l
adrenalin,a d r e n a l i n,a}a d}d r}r e}e n}n a}a l}l i}i n}n
adres,a d r e s,a}a d}d r}r e}e s}s
adsorben,a d s o r b e n,a}a d}d s}s o}o r}r b}b e}e n}n
adsorpsi,a d s o r p s i,a}a d}d s}s o}o r}r p}p s}s i}i
adu,a d u,a}a d}d u}u
aduan,a d u a n,a}a d}d u}u a}a n}n
aduh,a d u h,a}a d}d u}u h}h
aduhai,a d u h a i,a}a d}d u}u h}h a}a i}i
aduk,a d u ʔ,a}a d}d u}u k}ʔ
adukan,a d u k a n,a}a d}d u}u k}k a}a n}n
adun,a d u n,a}a d}d u}u n}n
adunan,a d u n a n,a}a d}d u}u n}n a}a n}n
adverbial,a d v e r b i a l,a}a d}d v}v e}e r}r b}b i}i a}a l}l
advertensi,a d v ə r t e n s i,a}a d}d v}v e}ə r}r t}t e}e n}n s}s i}i
advis,a d v i s,a}a d}d v}v i}i s}s
advokasi,a d v o k a s i,a}a d}d v}v o}o k}k a}a s}s i}i
advokat,a d v o k a t,a}a d}d v}v o}o k}k a}a t}t
aerasi,a e r a s i,a}a e}e r}r a}a s}s i}i
aerob,a e r o b,a}a e}e r}r o}o b}b
aerobatik,a e r o b a t i ʔ,a}a e}e r}r o}o b}b a}a t}t i}i k}ʔ
aerobik,a e r o b i ʔ,a}a e}e r}r o}o b}b i}i k}ʔ
aerodinamika,a e r o d i n a m i k a,a}a e}e r}r o}o d}d i}i n}n a}a m}m i}i k}k a}a
aerogram,a e r o ɡ r a m,a}a e}e r}r o}o g}ɡ r}r a}a m}m
aerologi,a e r o l o ɡ i,a}a e}e r}r o}o l}l o}o g}ɡ i}i
aerometer,a e r o m e t ə r,a}a e}e r}r o}o m}m e}e t}t e}ə r}r
aeromovel,a e r o m o v e l,a}a e}e r}r o}o m}m o}o v}v e}e l}l
aeronautik,a e r o n a u t i ʔ,a}a e}e r}r o}o n}n a}a u}u t}t i}i k}ʔ
aeronautika,a e r o n a u t i k a,a}a e}e r}r o}o n}n a}a u}u t}t i}i k}k a}a
aeroskop,a e r o s k o p,a}a e}e r}r o}o s}s k}k o}o p}p
aerosol,a e r o s o l,a}a e}e r}r o}o s}s o}o l}l
aerostatika,a e r o s t a t i k a,a}a e}e r}r o}o s}s t}t a}a t}t i}i k}k a}a
afal,a f a l,a}a f}f a}a l}l
afdal,a f d a l,a}a f}f d}d a}a l}l
afdeling,a f d e l i ŋ,a}a f}f d}d e}e l}l i}i n|g}ŋ
afdruk,a f d r u ʔ,a}a f}f d}d r}r u}u k}ʔ
afek,a f e ʔ,a}a f}f e}e k}ʔ
afeksi,a f e ʔ s i,a}a f}f e}e k}ʔ s}s i}i
afektif,a f e ʔ t i f,a}a f}f e}e k}ʔ t}t i}i f}f
afiat,a f i a t,a}a f}f i}i a}a t}t
afiks,a f i ʔ s,a}a f}f i}i k}ʔ s}s
afiksasi,a f i ʔ s a s i,a}a f}f i}i k}ʔ s}s a}a s}s i}i
afiliasi,a f i l i a s i,a}a f}f i}i l}l i}i a}a s}s i}i
afinitas,a f i n i t a s,a}a f}f i}i n}n i}i t}t a}a s}s
afirmasi,a f i r m a s i,a}a f}f i}i r}r m}m a}a s}s i}i
afirmatif,a f i r m a t i f,a}a f}f i}i r}r m}m a}a t}t i}i f}f
afrikat,a f r i k a t,a}a f}f r}r i}i k}k a}a t}t
afrit,a f r i t,a}a f}f r}r i}i t}t
afrodisiak,a f r o d i s i a ʔ,a}a f}f r}r o}o d}d i}i s}s i}i a}a k}ʔ
afsun,a f s u n,a}a f}f s}s u}u n}n
afwah,a f w a h,a}a f}f w}w a}a h}h
aga,a ɡ a,a}a g}ɡ a}a
agah,a ɡ a h,a}a g}ɡ a}a h}h
agak,a ɡ a ʔ,a}a g}ɡ a}a k}ʔ
agaknya,a ɡ a ʔ ɲ a,a}a g}ɡ a}a k}ʔ n|y}ɲ a}a
agal,a ɡ a l,a}a g}ɡ a}a l}l
agam,a ɡ a m,a}a g}ɡ a}a m}m
agama,a ɡ a m a,a}a g}ɡ a}a m}m a}a
agamaku,a ɡ a m a k u,a}a g}ɡ a}a m}m a}a k}k u}u
agamanya,a ɡ a m a ɲ a,a}a g}ɡ a}a m}m a}a n|y}ɲ a}a
agamawan,a ɡ a m a w a n,a}a g}ɡ a}a m}m a}a w}w a}a n}n
agamawi,a ɡ a m a w i,a}a g}ɡ a}a m}m a}a w}w i}i
agami,a ɡ a m i,a}a g}ɡ a}a m}m i}i
agan,a ɡ a n,a}a g}ɡ a}a n}n
agar,a ɡ a r,a}a g}ɡ a}a r}r
agas,a ɡ a s,a}a g}ɡ a}a s}s
agen,a ɡ e n,a}a g}ɡ e}e n}n
agenda,a ɡ e n d a,a}a g}ɡ e}e n}n d}d a}a
agensi,a ɡ e n s i,a}a g}ɡ e}e n}n s}s i}i
agih,a ɡ i h,a}a g}ɡ i}i h}h
agihan,a ɡ i h a n,a}a g}ɡ i}i h}h a}a n}n
agio,a ɡ i o,a}a g}ɡ i}i o}o
agitasi,a ɡ i t a s i,a}a g}ɡ i}i t}t a}a s}s i}i
agitator,a ɡ i t a t o r,a}a g}ɡ i}i t}t a}a t}t o}o r}r
aglutinasi,a ɡ l u t i n a s i,a}a g}ɡ l}l u}u t}t i}i n}n a}a s}s i}i
agnostik,a ɡ n o s t i ʔ,a}a g}ɡ n}n o}o s}s t}t i}i k}ʔ
agnostisisme,a ɡ n o s t i s i s m ə,a}a g}ɡ n}n o}o s}s t}t i}i s}s i}i s}s m}m e}ə
ago-go,a ɡ o - ɡ o,a}a g}ɡ o}o -}- g}ɡ o}o
agraria,a ɡ r a r i a,a}a g}ɡ r}r a}a r}r i}i a}a
agraris,a ɡ r a r i s,a}a g}ɡ r}r a}a r}r i}i s}s
agregasi,a ɡ r e ɡ a s i,a}a g}ɡ r}r e}e g}ɡ a}a s}s i}i
agregat,a ɡ r e ɡ a t,a}a g}ɡ r}r e}e g}ɡ a}a t}t
agresi,a ɡ r e s i,a}a g}ɡ r}r e}e s}s i}i
agresif,a ɡ r e s i f,a}a g}ɡ r}r e}e s}s i}i f}f
agresivitas,a ɡ r e s i v i t a s,a}a g}ɡ r}r e}e s}s i}i v}v i}i t}t a}a s}s
agresor,a ɡ r e s o r,a}a g}ɡ r}r e}e s}s o}o r}r
agroindustri,a ɡ r o i n d u s t r i,a}a g}ɡ r}r o}o i}i n}n d}d u}u s}s t}t r}r i}i
agronomi,a ɡ r o n o m i,a}a g}ɡ r}r o}o n}n o}o m}m i}i
aguk,a ɡ u ʔ,a}a g}ɡ u}u k}ʔ
agul,a ɡ u l,a}a g}ɡ u}u l}l
agun,a ɡ u n,a}a g}ɡ u}u n}n
agunan,a ɡ u n a n,a}a g}ɡ u}u n}n a}a n}n
agung,a ɡ u ŋ,a}a g}ɡ u}u n|g}ŋ
agus,a ɡ u s,a}a g}ɡ u}u s}s
agut,a ɡ u t,a}a g}ɡ u}u t}t
ah,a h,a}a h}h
ahad,a h a d,a}a h}h a}a d}d
ahadiat,a h a d i a t,a}a h}h a}a d}d i}i a}a t}t
ahimsa,a h i m s a,a}a h}h i}i m}m s}s a}a
ahkam,a h k a m,a}a h}h k}k a}a m}m
ahli,a h l i,a}a h}h l}l i}i
ahlulbait,a h l u l b a i t,a}a h}h l}l u}u l}l b}b a}a i}i t}t
ahlulkitab,a h l u l k i t a b,a}a h}h l}l u}u l}l k}k i}i t}t a}a b}b
ahlulkubur,a h l u l k u b u r,a}a h}h l}l u}u l}l k}k u}u b}b u}u r}r
ahmad,a h m a d,a}a h}h m}m a}a d}d
ahmak,a h m a ʔ,a}a h}h m}m a}a k}ʔ
ahmar,a h m a r,a}a h}h m}m a}a r}r
aho,a h o,a}a h}h o}o
ahwal,a h w a l,a}a h}h w}w a}a l}l
ai,a i,a}a i}i
aib,a i b,a}a i}i b}b
aidilfitri,a i d i l f i t r i,a}a i}i d}d i}i l}l f}f i}i t}t r}r i}i
ain,a i n,a}a i}i n}n
ainulbanat,a i n u l b a n a t,a}a i}i n}n u}u l}l b}b a}a n}n a}a t}t
air,a i r,a}a i}i r}r
airi,a i r i,a}a i}i r}r i}i
airmata,a i r m a t a,a}a i}i r}r m}m a}a t}t a}a
airnya,a i r ɲ a,a}a i}i r}r n|y}ɲ a}a
ais,a i s,a}a i}i s}s
aja,a dʒ a,a}a j}dʒ a}a
ajab,a dʒ a b,a}a j}dʒ a}a b}b
ajaib,a dʒ a i b,a}a j}dʒ a}a i}i b}b
ajak,a dʒ a ʔ,a}a j}dʒ a}a k}ʔ
ajakan,a dʒ a k a n,a}a j}dʒ a}a k}k a}a n}n
ajal,a dʒ a l,a}a j}dʒ a}a l}l
ajang,a dʒ a ŋ,a}a j}dʒ a}a n|g}ŋ
ajar,a dʒ a r,a}a j}dʒ a}a r}r
ajaran,a dʒ a r a n,a}a j}dʒ a}a r}r a}a n}n
ajaranmu,a dʒ a r a n m u,a}a j}dʒ a}a r}r a}a n}n m}m u}u
ajari,a dʒ a r i,a}a j}dʒ a}a r}r i}i
ajek,a dʒ ə ʔ,a}a j}dʒ e}ə k}ʔ
ajengan,a dʒ ə ŋ a n,a}a j}dʒ e}ə n|g}ŋ a}a n}n
aji,a dʒ i,a}a j}dʒ i}i
ajir,a dʒ i r,a}a j}dʒ i}i r}r
ajnabi,a dʒ n a b i,a}a j}dʒ n}n a}a b}b i}i
ajnas,a dʒ n a s,a}a j}dʒ n}n a}a s}s
ajojing,a dʒ o dʒ i ŋ,a}a j}dʒ o}o j}dʒ i}i n|g}ŋ
aju,a dʒ u,a}a j}dʒ u}u
ajuan,a dʒ u a n,a}a j}dʒ u}u a}a n}n
ajudan,a dʒ u d a n,a}a j}dʒ u}u d}d a}a n}n
ajujah,a dʒ u dʒ a h,a}a j}dʒ u}u j}dʒ a}a h}h
ajuk,a dʒ u ʔ,a}a j}dʒ u}u k}ʔ
ajukan,a dʒ u k a n,a}a j}dʒ u}u k}k a}a n}n
ajun,a dʒ u n,a}a j}dʒ u}u n}n
ajur,a dʒ u r,a}a j}dʒ u}u r}r
ak-ak,a k - a ʔ,a}a k}k -}- a}a k}ʔ
akad,a k a d,a}a k}k a}a d}d
akademi,a k a d e m i,a}a k}k a}a d}d e}e m}m i}i
akademik,a k a d e m i ʔ,a}a k}k a}a d}d e}e m}m i}i k}ʔ
akademikus,a k a d e m i k u s,a}a k}k a}a d}d e}e m}m i}i k}k u}u s}s
akademis,a k a d e m i s,a}a k}k a}a d}d e}e m}m i}i s}s
akademisi,a k a d e m i s i,a}a k}k a}a d}d e}e m}m i}i s}s i}i
akaid,a k a i d,a}a k}k a}a i}i d}d
akak,a k a ʔ,a}a k}k a}a k}ʔ
akal,a k a l,a}a k}k a}a l}l
akalnya,a k a l ɲ a,a}a k}k a}a l}l n|y}ɲ a}a
akan,a k a n,a}a k}k a}a n}n
akanan,a k a n a n,a}a k}k a}a n}n a}a n}n
akang,a k a ŋ,a}a k}k a}a n|g}ŋ
akar,a k a r,a}a k}k a}a r}r
akas,a k a s,a}a k}k a}a s}s
akasia,a k a s i a,a}a k}k a}a s}s i}i a}a
akaun,a k a u n,a}a k}k a}a u}u n}n
akbar,a ʔ b a r,a}a k}ʔ b}b a}a r}r
akhbar,a x b a r,a}a k|h}x b}b a}a r}r
akhir,a x i r,a}a k|h}x i}i r}r
akhiran,a x i r a n,a}a k|h}x i}i r}r a}a n}n
akhirat,a x i r a t,a}a k|h}x i}i r}r a}a t}t
akhirnya,a x i r ɲ a,a}a k|h}x i}i r}r n|y}ɲ a}a
akhirulkalam,a x i r u l k a l a m,a}a k|h}x i}i r}r u}u l}l k}k a}a l}l a}a m}m
akhlak,a x l a ʔ,a}a k|h}x l}l a}a k}ʔ
akhtaj,a x t a dʒ,a}a k|h}x t}t a}a j}dʒ
akhwat,a x w a t,a}a k|h}x w}w a}a t}t
aki,a k i,a}a k}k i}i
akibat,a k i b a t,a}a k}k i}i b}b a}a t}t
akibatnya,a k i b a t ɲ a,a}a k}k i}i b}b a}a t}t n|y}ɲ a}a
akidah,a k i d a h,a}a k}k i}i d}d a}a h}h
akik,a k i ʔ,a}a k}k i}i k}ʔ
akikah,a k i k a h,a}a k}k i}i k}k a}a h}h
akil,a k i l,a}a k}k i}i l}l
aklamasi,a ʔ l a m a s i,a}a k}ʔ l}l a}a m}m a}a s}s i}i
akliah,a ʔ l i a h,a}a k}ʔ l}l i}i a}a h}h
aklimatisasi,a ʔ l i m a t i s a s i,a}a k}ʔ l}l i}i m}m a}a t}t i}i s}s a}a s}s i}i
akmal,a ʔ m a l,a}a k}ʔ m}m a}a l}l
akomodasi,a k o m o d a s i,a}a k}k o}o m}m o}o d}d a}a s}s i}i
akomodatif,a k o m o d a t i f,a}a k}k o}o m}m o}o d}d a}a t}t i}i f}f
akor,a k o r,a}a k}k o}o r}r
akordeon,a k o r d e o n,a}a k}k o}o r}r d}d e}e o}o n}n
akrab,a ʔ r a b,a}a k}ʔ r}r a}a b}b
